epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
52,1468.18,1.50491,2.31127,1.41471,1.04938,0.58072,0.51017,0.52162,0.28232,0.55296,0.51514,0.47281,0.20964,1.45959,2.18591,1.2818,1.01807,0.000184438,0.000184438,0.000184438
53,1496.24,1.55238,2.42844,1.48086,1.05416,0.67759,0.5661,0.53023,0.35346,0.63429,0.55417,0.51363,0.276,1.38441,2.17101,1.31515,0.98987,0.00017825,0.00017825,0.00017825
54,1523.5,1.41039,2.11291,1.34425,1.00931,0.79921,0.50374,0.55916,0.38971,0.75723,0.49712,0.54995,0.2804,1.34624,2.1742,1.26246,0.97573,0.000172063,0.000172063,0.000172063
55,1551.09,1.45036,2.15942,1.48211,0.99975,0.70998,0.51299,0.54965,0.2964,0.6822,0.50565,0.5442,0.22845,1.3785,2.13189,1.1704,0.99526,0.000165875,0.000165875,0.000165875
56,1579.49,1.57668,2.42163,1.55494,1.04622,0.87289,0.48386,0.57147,0.3405,0.82585,0.47315,0.56043,0.22168,1.34771,2.09783,1.24468,0.98069,0.000159688,0.000159688,0.000159688
57,1606.88,1.50066,2.26222,1.36584,1.02902,0.65978,0.51169,0.53695,0.31485,0.62914,0.50376,0.53091,0.24254,1.38444,2.09279,1.13938,0.99659,0.0001535,0.0001535,0.0001535
58,1635.5,1.45782,2.17846,1.33415,0.99434,0.89726,0.40254,0.50724,0.29384,0.83766,0.39262,0.49373,0.24186,1.32902,2.15129,1.21013,0.97905,0.000147312,0.000147312,0.000147312
59,1663.87,1.40473,2.21354,1.38114,0.97342,0.85018,0.42144,0.5565,0.33538,0.58207,0.51597,0.53861,0.25375,1.38791,2.15431,1.29053,0.99115,0.000141125,0.000141125,0.000141125
60,1692.78,1.48542,2.35881,1.38884,1.00472,0.74073,0.57666,0.58617,0.3659,0.70635,0.56674,0.57278,0.2835,1.35851,2.07808,1.12892,0.98167,0.000134937,0.000134937,0.000134937
61,1720.24,1.43645,2.31369,1.25575,1.01502,0.78715,0.52587,0.53868,0.35305,0.74634,0.51331,0.49984,0.24141,1.31661,2.13334,1.09771,0.97334,0.00012875,0.00012875,0.00012875
62,1747.79,1.45929,2.30559,1.36166,1.00056,0.79915,0.50546,0.54341,0.33016,0.75755,0.49753,0.5336,0.2516,1.32146,2.08223,1.15325,0.97258,0.000122563,0.000122563,0.000122563
63,1776.16,1.4144,2.21013,1.3496,0.96103,0.73061,0.54928,0.57526,0.3669,0.68449,0.53299,0.55752,0.27379,1.32966,2.07608,1.11016,0.97625,0.000116375,0.000116375,0.000116375
64,1804.78,1.41553,2.16663,1.21142,1.00349,0.77809,0.56813,0.5765,0.37106,0.72199,0.55183,0.55852,0.2812,1.30504,2.0927,1.09661,0.97148,0.000110188,0.000110188,0.000110188
65,1833.44,1.40166,2.19322,1.32405,1.00023,0.74524,0.51445,0.5351,0.35673,0.69843,0.5036,0.52605,0.27589,1.32987,2.09515,1.08584,0.96917,0.000104,0.000104,0.000104
66,1861.56,1.42621,2.15997,1.37104,0.98875,0.81488,0.43481,0.54294,0.35168,0.76621,0.4221,0.53403,0.27547,1.30142,2.13341,1.11563,0.97414,9.78125e-05,9.78125e-05,9.78125e-05
67,1889.09,1.43967,2.20651,1.30158,0.99351,0.86622,0.46786,0.55528,0.37925,0.78925,0.45158,0.53148,0.29097,1.29517,2.07234,1.0824,0.95863,9.1625e-05,9.1625e-05,9.1625e-05
68,1918.52,1.40987,2.42285,1.277,0.98602,0.80451,0.50558,0.52668,0.33899,0.75342,0.49001,0.50694,0.27617,1.27209,2.08091,1.07706,0.95233,8.54375e-05,8.54375e-05,8.54375e-05
69,1945.43,1.32786,1.99839,1.21857,0.9545,0.67944,0.55657,0.54286,0.35572,0.6325,0.53981,0.51582,0.2934,1.28899,2.05869,1.07357,0.95715,7.925e-05,7.925e-05,7.925e-05
70,1972.85,1.37875,2.10279,1.2855,0.97205,0.72904,0.50979,0.56966,0.38951,0.68636,0.49483,0.55085,0.30054,1.26904,2.05851,1.13326,0.95611,7.30625e-05,7.30625e-05,7.30625e-05
71,2000.59,1.36249,2.10121,1.20114,0.93684,0.75368,0.49994,0.57885,0.41525,0.69926,0.48326,0.56246,0.30871,1.30473,2.02448,1.05694,0.96627,6.6875e-05,6.6875e-05,6.6875e-05
72,2027.48,1.28502,2.00007,1.19413,0.88811,0.87692,0.47509,0.58414,0.4004,0.79806,0.45874,0.56411,0.31188,1.34393,2.03526,1.07073,0.96759,6.06875e-05,6.06875e-05,6.06875e-05
73,2054.35,1.40463,2.16454,1.23885,0.92731,0.66121,0.53014,0.61447,0.39296,0.62625,0.51446,0.5979,0.31485,1.30309,2.04734,1.04479,0.95786,5.45e-05,5.45e-05,5.45e-05
74,2081.29,1.34031,1.98216,1.13945,0.93602,0.81726,0.50737,0.62879,0.41116,0.75692,0.49102,0.60994,0.33965,1.31488,2.02078,1.054,0.96128,4.83125e-05,4.83125e-05,4.83125e-05
75,2108.31,1.38823,2.47692,1.21248,0.92027,0.88224,0.47818,0.65251,0.44284,0.82526,0.46607,0.63494,0.34727,1.3106,2.01059,1.02844,0.96184,4.2125e-05,4.2125e-05,4.2125e-05
76,2135.16,1.32746,2.07501,1.16767,0.91585,0.77883,0.49929,0.5795,0.37445,0.71878,0.48377,0.56195,0.29699,1.3025,1.99851,1.02306,0.96344,3.59375e-05,3.59375e-05,3.59375e-05
77,2162.21,1.36844,2.02795,1.15502,0.92333,0.76332,0.51035,0.60787,0.41631,0.70598,0.49367,0.58961,0.3119,1.29628,2.00831,1.04292,0.96135,2.975e-05,2.975e-05,2.975e-05
78,2189.02,1.29217,2.06019,1.12371,0.90356,0.77588,0.51125,0.62026,0.42569,0.71737,0.49341,0.59857,0.32582,1.31051,2.01258,1.02237,0.9709,2.35625e-05,2.35625e-05,2.35625e-05
79,2215.89,1.22679,1.92351,1.065,0.90035,0.81297,0.50752,0.62445,0.42402,0.75558,0.49262,0.60368,0.32393,1.30956,1.99697,1.00503,0.97114,1.7375e-05,1.7375e-05,1.7375e-05
80,2242.79,1.31609,2.25672,1.10413,0.91188,0.80919,0.51009,0.63597,0.43953,0.74461,0.49315,0.61257,0.34227,1.31341,2.00553,1.02026,0.97307,1.11875e-05,1.11875e-05,1.11875e-05
