epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,7060.02,1.21329,1.91586,1.04877,1.04146,0.7754,0.51479,0.57511,0.38772,0.72303,0.50159,0.55389,0.29943,1.1258,1.75257,0.97635,0.99321,0.000110188,0.000110188,0.000110188
65,7170.52,1.19344,1.90871,1.1288,1.03168,0.88777,0.57551,0.70951,0.4737,0.8329,0.56152,0.68923,0.36238,1.11617,1.7934,0.94117,0.97796,0.000104,0.000104,0.000104
66,7281.4,1.23179,1.85997,1.11694,1.02333,0.8102,0.51818,0.6806,0.48427,0.76146,0.50829,0.66607,0.3803,1.12057,1.80547,0.88771,0.98637,9.78125e-05,9.78125e-05,9.78125e-05
67,7392.39,1.24807,1.88086,1.09818,1.02394,0.71458,0.57148,0.69352,0.46706,0.66847,0.56081,0.67572,0.37253,1.128,1.80736,0.9087,0.97391,9.1625e-05,9.1625e-05,9.1625e-05
68,7503.01,1.19639,2.20733,1.03117,1.02308,0.6791,0.68967,0.69323,0.49823,0.64351,0.67921,0.6773,0.38673,1.14976,1.8111,0.89098,0.98115,8.54375e-05,8.54375e-05,8.54375e-05
69,7613.7,1.15542,1.7474,1.03093,0.98763,0.73035,0.57967,0.63951,0.43508,0.69395,0.57186,0.62555,0.35363,1.11582,1.80579,0.90931,0.96663,7.925e-05,7.925e-05,7.925e-05
70,7724.27,1.18026,1.81989,1.04009,1.0042,0.7682,0.662,0.74833,0.5371,0.72887,0.65197,0.73423,0.42652,1.09725,1.76552,0.871,0.95972,7.30625e-05,7.30625e-05,7.30625e-05
71,7835.43,1.14828,1.83096,1.00014,0.9781,0.78036,0.56997,0.68371,0.51606,0.73505,0.56137,0.67115,0.39767,1.08344,1.75034,0.92994,0.94609,6.6875e-05,6.6875e-05,6.6875e-05
72,7945.36,1.11173,1.69324,0.97643,0.92574,0.776,0.59432,0.68553,0.48278,0.73209,0.58365,0.66928,0.38471,1.10278,1.81807,0.87058,0.9753,6.06875e-05,6.06875e-05,6.06875e-05
73,8055.38,1.20002,1.79242,1.00554,0.95077,0.82396,0.5833,0.72282,0.51117,0.78573,0.57654,0.70798,0.4114,1.10618,1.82357,0.83521,0.97644,5.45e-05,5.45e-05,5.45e-05
74,8165.46,1.12935,1.75899,0.93471,0.96769,0.84309,0.58016,0.72464,0.52763,0.79452,0.57157,0.70868,0.40906,1.09345,1.74656,0.84988,0.96079,4.83125e-05,4.83125e-05,4.83125e-05
75,8275.58,1.12906,1.96201,0.93508,0.93935,0.91327,0.7655,0.78852,0.56583,0.87109,0.75609,0.77396,0.44818,1.09913,1.78171,0.85725,0.98869,4.2125e-05,4.2125e-05,4.2125e-05
76,8385.76,1.11485,1.77429,0.94621,0.9519,0.69135,0.73603,0.69613,0.51132,0.6515,0.72565,0.68527,0.40611,1.09108,1.74721,0.86399,0.98092,3.59375e-05,3.59375e-05,3.59375e-05
77,8495.75,1.14392,1.6486,0.92374,0.94042,0.7044,0.77461,0.69753,0.49468,0.66539,0.76238,0.68121,0.40161,1.05497,1.67309,0.82895,0.95028,2.975e-05,2.975e-05,2.975e-05
78,8605.78,1.07312,1.82957,0.90346,0.9288,0.84914,0.76766,0.7639,0.54318,0.80276,0.75639,0.74786,0.44009,1.05732,1.67073,0.82134,0.94534,2.35625e-05,2.35625e-05,2.35625e-05
79,8715.8,1.00953,1.61101,0.84505,0.90546,0.74791,0.77594,0.73644,0.53377,0.70976,0.76477,0.72069,0.42618,1.06913,1.67285,0.8405,0.93941,1.7375e-05,1.7375e-05,1.7375e-05
80,8825.8,1.10006,1.67735,0.85536,0.93675,0.80854,0.76668,0.74906,0.54918,0.76523,0.75642,0.73321,0.43829,1.0695,1.6946,0.83455,0.94104,1.11875e-05,1.11875e-05,1.11875e-05
