epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
51,2705.28,1.44305,2.14246,1.31056,1.04076,0.75901,0.54521,0.55962,0.35645,0.70906,0.53165,0.54039,0.27635,1.38441,1.92157,1.22255,1.02405,0.000190625,0.000190625,0.000190625
52,2759.42,1.37657,2.08015,1.22325,1.04833,0.80586,0.56524,0.58745,0.37464,0.76799,0.55863,0.58047,0.27901,1.28885,1.91341,1.26441,0.99487,0.000184438,0.000184438,0.000184438
53,2813.13,1.44602,2.2205,1.322,1.05839,0.78446,0.50977,0.58422,0.39936,0.73942,0.49639,0.56709,0.30374,1.29628,2.01826,1.21964,0.98582,0.00017825,0.00017825,0.00017825
54,2867.3,1.32687,2.03655,1.14836,1.03471,0.83618,0.572,0.59613,0.39451,0.78717,0.55951,0.57887,0.30528,1.28304,1.90078,1.06518,0.99278,0.000172063,0.000172063,0.000172063
55,2920.62,1.37002,1.98588,1.28757,1.00771,0.85174,0.55523,0.58295,0.37283,0.80722,0.54811,0.57206,0.26454,1.30314,1.8951,1.12994,0.98243,0.000165875,0.000165875,0.000165875
56,2974.95,1.45221,2.28968,1.46553,1.06044,0.79108,0.58834,0.6385,0.37914,0.75498,0.57842,0.61418,0.27858,1.25496,1.9091,1.12144,0.97721,0.000159688,0.000159688,0.000159688
57,3029.71,1.3823,2.04652,1.24597,1.03548,0.9417,0.54431,0.6586,0.38532,0.89819,0.53803,0.64304,0.292,1.24499,1.93084,1.00072,0.9864,0.0001535,0.0001535,0.0001535
58,3083.51,1.34826,2.01109,1.15369,1.00282,0.83271,0.58855,0.598,0.39653,0.78219,0.57679,0.58176,0.29842,1.27412,1.86448,1.00485,0.98836,0.000147312,0.000147312,0.000147312
59,3137.96,1.31806,2.07075,1.17597,0.99181,0.64934,0.60979,0.60536,0.38557,0.61987,0.59788,0.59104,0.28497,1.27513,1.918,1.05249,0.99728,0.000141125,0.000141125,0.000141125
60,3191.81,1.34322,2.16002,1.16677,0.99924,0.86177,0.53315,0.60717,0.37546,0.86661,0.44735,0.54903,0.30351,1.27754,1.89574,1.11448,0.9911,0.000134937,0.000134937,0.000134937
61,3245.7,1.30097,2.07741,1.07258,1.00472,0.70907,0.59431,0.58875,0.3589,0.66648,0.5757,0.56949,0.28832,1.23816,1.88357,0.99375,0.98351,0.00012875,0.00012875,0.00012875
62,3298.65,1.33174,2.14343,1.16376,0.99583,0.86837,0.56132,0.60832,0.37843,0.83243,0.55338,0.59696,0.27981,1.20425,1.87839,0.99661,0.97217,0.000122563,0.000122563,0.000122563
63,3351.79,1.28518,2.00148,1.16146,0.96592,0.86509,0.53694,0.65855,0.42835,0.81461,0.52751,0.63956,0.32363,1.20125,1.88645,1.0214,0.97905,0.000116375,0.000116375,0.000116375
64,3404.88,1.2869,1.9978,1.04841,1.00479,0.88767,0.57006,0.61669,0.40832,0.84212,0.56146,0.59851,0.33092,1.16801,1.89263,0.91739,0.95578,0.000110188,0.000110188,0.000110188
65,3458.73,1.27081,1.98799,1.13936,1.00505,0.84229,0.54772,0.65605,0.45111,0.8199,0.49314,0.6088,0.32055,1.19217,1.8972,0.92928,0.96247,0.000104,0.000104,0.000104
66,3513.74,1.30336,1.9712,1.1603,0.99042,0.86072,0.5941,0.64424,0.45891,0.81307,0.58121,0.62536,0.34743,1.19604,1.85145,0.92057,0.95368,9.78125e-05,9.78125e-05,9.78125e-05
67,3567.62,1.30486,1.97474,1.10447,0.98739,0.88882,0.54935,0.66066,0.40633,0.84752,0.54275,0.64363,0.34734,1.21169,1.893,0.95687,0.96313,9.1625e-05,9.1625e-05,9.1625e-05
68,3622.7,1.26326,2.09391,1.06582,0.98326,0.83132,0.59557,0.68002,0.48304,0.78657,0.58466,0.66048,0.35399,1.19577,1.84076,0.93279,0.95511,8.54375e-05,8.54375e-05,8.54375e-05
69,3676.64,1.21514,1.79985,1.05264,0.96515,0.92308,0.6245,0.78467,0.4999,0.87468,0.61394,0.76685,0.38219,1.18864,1.82568,0.92246,0.95026,7.925e-05,7.925e-05,7.925e-05
70,3730.26,1.21575,1.92129,1.0324,0.96617,0.8772,0.5771,0.74442,0.50939,0.83397,0.56916,0.72503,0.40363,1.17034,1.79236,0.97926,0.9371,7.30625e-05,7.30625e-05,7.30625e-05
71,3783.7,1.20496,1.83409,1.01246,0.91193,0.81082,0.58242,0.68072,0.48408,0.75464,0.56949,0.66326,0.38051,1.19597,1.78236,0.94399,0.94516,6.6875e-05,6.6875e-05,6.6875e-05
72,3836.24,1.18055,1.81171,0.98981,0.89016,0.75849,0.59971,0.68105,0.46427,0.7095,0.58545,0.66149,0.36085,1.21005,1.7782,0.95704,0.95266,6.06875e-05,6.06875e-05,6.06875e-05
73,3888.78,1.24695,1.89073,1.01299,0.91696,0.88015,0.56933,0.71835,0.48653,0.87611,0.49003,0.66961,0.372,1.17245,1.75696,0.90866,0.94783,5.45e-05,5.45e-05,5.45e-05
74,3941.37,1.17451,1.77403,0.95442,0.92007,0.86791,0.57791,0.69938,0.49462,0.81798,0.56862,0.67939,0.40423,1.15765,1.72433,0.90607,0.93139,4.83125e-05,4.83125e-05,4.83125e-05
75,3993.98,1.22006,2.0638,0.98777,0.90414,0.83786,0.58351,0.74871,0.49008,0.80071,0.57625,0.73099,0.4053,1.14025,1.71322,0.912,0.93162,4.2125e-05,4.2125e-05,4.2125e-05
76,4046.54,1.21079,1.88997,0.99331,0.92055,0.7841,0.59155,0.7228,0.48773,0.73997,0.58097,0.70626,0.39303,1.1283,1.69817,0.90078,0.91787,3.59375e-05,3.59375e-05,3.59375e-05
77,4099.15,1.23048,1.67896,0.96573,0.90883,0.87039,0.65019,0.76128,0.51445,0.83053,0.64084,0.74337,0.40538,1.13126,1.70845,0.9154,0.91783,2.975e-05,2.975e-05,2.975e-05
78,4151.83,1.15073,1.88789,0.95531,0.8917,0.90509,0.6487,0.78477,0.519,0.86245,0.63944,0.76807,0.42375,1.13304,1.71419,0.87404,0.92222,2.35625e-05,2.35625e-05,2.35625e-05
79,4204.46,1.06993,1.66008,0.84789,0.88233,0.66712,0.67757,0.74273,0.50736,0.63295,0.6663,0.72735,0.38034,1.13714,1.68843,0.87317,0.92768,1.7375e-05,1.7375e-05,1.7375e-05
80,4257.06,1.1646,1.88461,0.88787,0.9061,0.66482,0.68621,0.74245,0.51073,0.62853,0.67592,0.72798,0.39792,1.13421,1.69332,0.85199,0.92824,1.11875e-05,1.11875e-05,1.11875e-05
