epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,4851.49,1.37719,1.31953,1.143,0.65559,0.46679,0.50285,0.31919,1.21411,1.09041,1.06112,0.000111071,0.000111071,0.000111071
57,4938.01,1.27274,1.12075,1.09153,0.77945,0.44093,0.51246,0.32138,1.21555,0.97031,1.04481,0.000104,0.000104,0.000104
58,5024.7,1.2192,1.08259,1.06935,0.7821,0.43946,0.53231,0.33551,1.2171,1.0302,1.06682,9.69286e-05,9.69286e-05,9.69286e-05
59,5111.2,1.23117,1.16068,1.06346,0.72093,0.50855,0.52066,0.32643,1.21521,0.96279,1.0546,8.98571e-05,8.98571e-05,8.98571e-05
60,5197.77,1.19182,1.09268,1.05657,0.73221,0.53872,0.54195,0.33653,1.1576,0.91865,1.04708,8.27857e-05,8.27857e-05,8.27857e-05
61,5284.86,1.18166,1.05776,1.02818,0.65745,0.57846,0.5072,0.33159,1.1694,0.97607,1.02983,7.57143e-05,7.57143e-05,7.57143e-05
62,5371.22,1.16394,1.05587,1.02183,0.72907,0.50096,0.51908,0.35808,1.16334,0.97155,1.04076,6.86429e-05,6.86429e-05,6.86429e-05
63,5457.61,1.14617,1.00582,1.02435,0.66133,0.51269,0.50438,0.346,1.16986,0.94165,1.03006,6.15714e-05,6.15714e-05,6.15714e-05
64,5543.93,1.16735,0.99933,0.99273,0.64753,0.49348,0.49625,0.33421,1.16949,0.9305,1.0244,5.45e-05,5.45e-05,5.45e-05
65,5630.2,1.09735,0.95131,0.98122,0.69702,0.51395,0.51316,0.32904,1.13838,0.89477,1.02153,4.74286e-05,4.74286e-05,4.74286e-05
66,5716.55,1.18768,1.0316,1.01247,0.88308,0.43068,0.54289,0.34768,1.1511,0.90229,1.03836,4.03571e-05,4.03571e-05,4.03571e-05
67,5802.85,1.12265,0.97041,0.99763,0.81591,0.43313,0.52341,0.3536,1.12722,0.89584,1.02792,3.32857e-05,3.32857e-05,3.32857e-05
68,5889.26,1.09711,0.91923,0.98544,0.77503,0.44024,0.52264,0.34036,1.12076,0.89165,1.01911,2.62143e-05,2.62143e-05,2.62143e-05
69,5975.73,1.08575,0.85494,0.96149,0.78718,0.43619,0.52748,0.35115,1.11722,0.89664,1.01263,1.91429e-05,1.91429e-05,1.91429e-05
70,6062.1,1.11647,0.91616,0.96371,0.62849,0.56659,0.52262,0.34236,1.1173,0.9032,1.01478,1.20714e-05,1.20714e-05,1.20714e-05
