epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,2376.28,1.61856,2.45264,1.62344,1.14538,0.76517,0.24721,0.35771,0.20636,0.73908,0.2406,0.34192,0.16562,1.45597,2.34958,1.54949,1.12526,0.0004555,0.0004555,0.0004555
46,2429.23,1.58397,2.46218,1.74077,1.13112,0.42644,0.38029,0.3969,0.21578,0.29409,0.31682,0.31325,0.15291,1.42765,2.26784,1.36313,1.11342,0.000443125,0.000443125,0.000443125
47,2482.17,1.59271,2.33588,1.64495,1.16346,0.60292,0.47668,0.49829,0.2823,0.58522,0.46695,0.48794,0.21556,1.4236,2.16087,1.44327,1.09786,0.00043075,0.00043075,0.00043075
48,2535.23,1.55934,2.31337,1.60918,1.10666,0.44147,0.38039,0.41178,0.25392,0.40908,0.3708,0.40143,0.18856,1.49249,2.18623,1.42564,1.12404,0.000418375,0.000418375,0.000418375
49,2588.38,1.63665,2.41546,1.68525,1.16529,0.63052,0.48517,0.47976,0.31028,0.59383,0.47624,0.46716,0.20161,1.51914,2.2402,1.33555,1.10929,0.000406,0.000406,0.000406
50,2641.42,1.63149,2.5873,1.56732,1.14837,0.63345,0.4561,0.484,0.27466,0.62287,0.33097,0.3308,0.18933,1.50773,2.13831,1.32379,1.14368,0.000393625,0.000393625,0.000393625
51,2694.43,1.56884,2.30759,1.52434,1.12478,0.67442,0.39152,0.44482,0.28301,0.63523,0.38045,0.43224,0.19497,1.43708,2.16995,1.38762,1.11052,0.00038125,0.00038125,0.00038125
52,2747.43,1.54216,2.30601,1.48346,1.15869,0.5745,0.48211,0.49767,0.28177,0.54264,0.4737,0.45727,0.21775,1.46071,2.06231,1.24943,1.11419,0.000368875,0.000368875,0.000368875
53,2800.6,1.57666,2.43579,1.58614,1.16969,0.57019,0.51994,0.50544,0.27899,0.53653,0.50902,0.4669,0.18772,1.42944,2.09961,1.29187,1.10818,0.0003565,0.0003565,0.0003565
54,2853.52,1.43184,2.16609,1.38012,1.11693,0.86905,0.3994,0.57864,0.34441,0.83497,0.39047,0.56855,0.2551,1.36564,2.0621,1.30788,1.06717,0.000344125,0.000344125,0.000344125
55,2906.46,1.50714,2.09446,1.66597,1.12111,0.74969,0.41905,0.54029,0.30524,0.71059,0.40476,0.48068,0.22789,1.41341,2.06771,1.28763,1.0828,0.00033175,0.00033175,0.00033175
56,2959.57,1.59232,2.46706,1.63365,1.16103,0.84742,0.31002,0.4142,0.25733,0.8067,0.30444,0.38172,0.18517,1.41233,2.06488,1.45903,1.09466,0.000319375,0.000319375,0.000319375
57,3012.4,1.5192,2.24399,1.47837,1.13015,0.43506,0.58905,0.48529,0.25935,0.40952,0.57814,0.42057,0.19183,1.45093,2.06574,1.23949,1.10046,0.000307,0.000307,0.000307
58,3065.52,1.4843,2.16305,1.38893,1.10524,0.59861,0.45261,0.48266,0.29841,0.56551,0.44137,0.4543,0.21328,1.348,2.02982,1.17806,1.0783,0.000294625,0.000294625,0.000294625
59,3118.4,1.45343,2.25368,1.47128,1.09304,0.76069,0.41074,0.42711,0.26451,0.73061,0.40164,0.41346,0.18007,1.36221,2.027,1.25128,1.08321,0.00028225,0.00028225,0.00028225
60,3171.52,1.45896,2.20821,1.40552,1.08701,0.82805,0.38975,0.51117,0.31343,0.58854,0.49135,0.48687,0.23487,1.34956,2.01628,1.13971,1.06922,0.000269875,0.000269875,0.000269875
61,3224.74,1.45004,2.2317,1.29806,1.09619,0.73958,0.4203,0.48509,0.28162,0.68081,0.34557,0.45909,0.20059,1.3179,2.00927,1.14481,1.05981,0.0002575,0.0002575,0.0002575
62,3277.7,1.50063,2.33465,1.36425,1.09422,0.59222,0.50576,0.51128,0.32529,0.56575,0.49804,0.47214,0.24728,1.33571,1.96909,1.14643,1.06731,0.000245125,0.000245125,0.000245125
63,3330.62,1.41886,2.20359,1.3967,1.0516,0.81232,0.40183,0.55642,0.33007,0.75796,0.39348,0.54592,0.24294,1.34519,1.98835,1.16875,1.06326,0.00023275,0.00023275,0.00023275
64,3383.66,1.4272,2.17282,1.26597,1.09092,0.80091,0.48715,0.55626,0.34742,0.75671,0.47657,0.53161,0.24204,1.32304,1.98519,1.11043,1.05009,0.000220375,0.000220375,0.000220375
65,3436.55,1.43238,2.18652,1.37627,1.10667,0.67697,0.5788,0.57764,0.35656,0.64242,0.56954,0.55607,0.23602,1.37138,2.03036,1.1781,1.06566,0.000208,0.000208,0.000208
66,3489.48,1.4204,2.12141,1.36612,1.07488,0.54786,0.51593,0.55939,0.34255,0.51429,0.50634,0.5233,0.26255,1.35713,1.99803,1.13858,1.06891,0.000195625,0.000195625,0.000195625
67,3542.68,1.45336,2.13185,1.32332,1.07617,0.53669,0.63061,0.62648,0.38613,0.50569,0.62615,0.62025,0.29364,1.33028,1.94505,1.06456,1.06329,0.00018325,0.00018325,0.00018325
68,3595.74,1.43083,2.36643,1.29362,1.08987,0.71307,0.50491,0.60932,0.3801,0.68237,0.49764,0.59758,0.28344,1.30243,1.91534,1.11686,1.04478,0.000170875,0.000170875,0.000170875
69,3648.62,1.39454,2.01215,1.26526,1.06242,0.46099,0.58277,0.59281,0.3725,0.41138,0.51002,0.55925,0.29561,1.3334,1.88766,1.14353,1.05822,0.0001585,0.0001585,0.0001585
70,3701.57,1.3792,2.08199,1.28894,1.06278,0.74377,0.5038,0.59927,0.37645,0.70988,0.49619,0.56612,0.2805,1.30925,1.86762,1.12194,1.03311,0.000146125,0.000146125,0.000146125
71,3754.93,1.35427,2.04679,1.22101,1.02074,0.86243,0.48728,0.62643,0.39104,0.81336,0.47969,0.61413,0.30956,1.30964,1.90319,1.04,1.03148,0.00013375,0.00013375,0.00013375
72,3807.62,1.30558,1.99012,1.20354,0.99264,0.66185,0.56287,0.64087,0.41445,0.62867,0.55262,0.60291,0.31108,1.29998,1.92761,1.01431,1.03362,0.000121375,0.000121375,0.000121375
73,3860.4,1.38915,2.07101,1.24667,1.00826,0.65064,0.66991,0.74829,0.45971,0.62156,0.65933,0.7315,0.34383,1.26378,1.91786,1.00489,1.01938,0.000109,0.000109,0.000109
74,3913.2,1.32958,1.91561,1.16759,1.02691,0.6628,0.75003,0.73079,0.45466,0.56264,0.65579,0.64484,0.335,1.26475,1.87884,1.00548,1.01865,9.6625e-05,9.6625e-05,9.6625e-05
75,3965.98,1.33439,2.18812,1.17769,1.0082,0.73556,0.74921,0.68426,0.42475,0.69742,0.7407,0.6754,0.32768,1.28362,1.86104,1.04599,1.02488,8.425e-05,8.425e-05,8.425e-05
76,4018.75,1.29687,1.99669,1.16578,1.00193,0.60552,0.75907,0.66744,0.40312,0.57847,0.75047,0.65864,0.31297,1.29583,1.8425,1.05603,1.02494,7.1875e-05,7.1875e-05,7.1875e-05
77,4071.53,1.3615,1.82589,1.14977,1.0106,0.91064,0.49154,0.66884,0.42523,0.85811,0.4831,0.65663,0.30851,1.26928,1.82978,1.01557,1.01915,5.95e-05,5.95e-05,5.95e-05
78,4124.34,1.2786,2.13008,1.11437,0.98743,0.87314,0.49935,0.68346,0.43516,0.82284,0.49042,0.67277,0.32717,1.25695,1.84737,1.01597,1.01079,4.7125e-05,4.7125e-05,4.7125e-05
79,4177.06,1.20991,1.83113,1.05607,0.98304,0.8949,0.49907,0.6586,0.40211,0.84668,0.49069,0.65135,0.30397,1.26174,1.8532,1.02234,1.01607,3.475e-05,3.475e-05,3.475e-05
80,4229.84,1.28661,2.02378,1.08171,1.00172,0.83251,0.50231,0.65879,0.40191,0.78505,0.49372,0.6517,0.31088,1.25945,1.84799,1.00987,1.01281,2.2375e-05,2.2375e-05,2.2375e-05
