epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1193.82,1.64349,2.40773,1.74456,1.13026,0.54705,0.48952,0.5419,0.28094,0.50995,0.48556,0.53771,0.21571,1.55236,2.30483,1.58976,1.09502,0.00048025,0.00048025,0.00048025
44,1221.93,1.62535,2.48563,1.76503,1.0829,0.53076,0.33995,0.41799,0.21368,0.39873,0.34406,0.34107,0.14636,1.53019,2.31867,1.6054,1.08211,0.000467875,0.000467875,0.000467875
45,1249.98,1.62189,2.46823,1.64795,1.0966,0.58407,0.50371,0.46496,0.22497,0.52355,0.44537,0.35401,0.16962,1.5234,2.31656,1.4875,1.07519,0.0004555,0.0004555,0.0004555
46,1278.04,1.5996,2.50413,1.72625,1.05932,0.6665,0.43339,0.51824,0.27706,0.64834,0.42711,0.48592,0.21051,1.55246,2.2901,1.37678,1.06952,0.000443125,0.000443125,0.000443125
47,1306.07,1.62774,2.40803,1.71553,1.10515,0.67257,0.53314,0.53507,0.28246,0.66209,0.53449,0.53504,0.20887,1.4905,2.3458,1.45529,1.08218,0.00043075,0.00043075,0.00043075
48,1333.78,1.575,2.30438,1.59739,1.06867,0.80774,0.33955,0.42499,0.22216,0.78232,0.33548,0.42104,0.16936,1.50353,2.26995,1.45493,1.08093,0.000418375,0.000418375,0.000418375
49,1371.01,1.66972,2.45979,1.71231,1.08912,0.61059,0.46651,0.4802,0.27292,0.57567,0.4598,0.47158,0.21537,1.51766,2.2115,1.42803,1.05049,0.000406,0.000406,0.000406
50,1913.78,1.66967,2.66264,1.61892,1.07798,0.74208,0.4587,0.47768,0.26421,0.70246,0.44991,0.4583,0.19629,1.47825,2.25125,1.78646,1.06027,0.000393625,0.000393625,0.000393625
51,1941.44,1.58516,2.41289,1.62293,1.0809,0.77632,0.40304,0.45557,0.2647,0.75833,0.4021,0.45023,0.20498,1.45217,2.21319,1.46545,1.06114,0.00038125,0.00038125,0.00038125
52,1968.87,1.58331,2.43188,1.56373,1.10269,0.91662,0.38441,0.47871,0.26417,0.87422,0.36925,0.46785,0.19542,1.53713,2.26744,1.36033,1.09199,0.000368875,0.000368875,0.000368875
53,1996.54,1.56398,2.49775,1.55442,1.09622,0.79725,0.32317,0.43006,0.24361,0.77221,0.31828,0.41999,0.17639,1.45513,2.24304,1.42955,1.06041,0.0003565,0.0003565,0.0003565
54,2024.05,1.4992,2.23855,1.4417,1.07602,0.7754,0.47705,0.50467,0.25953,0.38821,0.37524,0.40721,0.17707,1.456,2.15847,1.36049,1.05236,0.000344125,0.000344125,0.000344125
55,2051.53,1.52664,2.19546,1.61933,1.05183,0.79489,0.44437,0.51688,0.27287,0.75095,0.43108,0.50413,0.20429,1.49688,2.21513,1.37436,1.06382,0.00033175,0.00033175,0.00033175
56,2079.15,1.63339,2.49769,1.72156,1.12502,0.82067,0.32849,0.42666,0.25047,0.37131,0.47494,0.37965,0.17595,1.41189,2.21735,1.41218,1.04764,0.000319375,0.000319375,0.000319375
57,2106.71,1.53987,2.32796,1.47531,1.06888,0.45539,0.48636,0.44265,0.2652,0.44298,0.48107,0.41336,0.20085,1.37986,2.19979,1.37635,1.03819,0.000307,0.000307,0.000307
58,2134.44,1.52139,2.2635,1.44905,1.04778,0.54073,0.36173,0.42064,0.25363,0.49901,0.35048,0.40056,0.19293,1.39446,2.17758,1.38009,1.04687,0.000294625,0.000294625,0.000294625
59,2161.97,1.48882,2.29261,1.47206,1.03668,0.82006,0.32743,0.40984,0.24809,0.37775,0.43468,0.38595,0.18146,1.42332,2.22528,1.30909,1.04944,0.00028225,0.00028225,0.00028225
60,2189.85,1.51872,2.33254,1.49887,1.04791,0.7359,0.48543,0.49693,0.29098,0.61368,0.52091,0.4748,0.21581,1.38341,2.17288,1.37302,1.02155,0.000269875,0.000269875,0.000269875
61,2217.63,1.46973,2.35605,1.36726,1.05658,0.70993,0.40555,0.48206,0.28234,0.67074,0.39765,0.47239,0.20212,1.41959,2.21193,1.35797,1.03914,0.0002575,0.0002575,0.0002575
62,2245.28,1.51276,2.38854,1.44969,1.04138,0.57738,0.55321,0.50001,0.3049,0.55177,0.56489,0.49332,0.21662,1.36184,2.18306,1.26064,1.01584,0.000245125,0.000245125,0.000245125
63,2272.79,1.44963,2.30925,1.44735,1.01162,0.63839,0.54616,0.5431,0.31141,0.60362,0.53092,0.53733,0.23395,1.39241,2.16748,1.24449,1.03036,0.00023275,0.00023275,0.00023275
64,2300.48,1.46165,2.15623,1.31337,1.04566,0.68248,0.55161,0.54412,0.28729,0.53802,0.55736,0.48192,0.22771,1.38219,2.2201,1.27875,1.02912,0.000220375,0.000220375,0.000220375
65,2328.17,1.47601,2.2474,1.44131,1.05809,0.80187,0.43961,0.57904,0.3001,0.50096,0.55024,0.46372,0.20112,1.35836,2.19411,1.41422,1.01437,0.000208,0.000208,0.000208
66,2355.99,1.46484,2.16637,1.43891,1.04582,0.53703,0.58527,0.5988,0.28965,0.48925,0.53705,0.47591,0.19044,1.36925,2.17886,1.24284,1.0114,0.000195625,0.000195625,0.000195625
67,2383.94,1.47392,2.22942,1.36661,1.0362,0.80426,0.54086,0.57364,0.33795,0.67031,0.53646,0.50742,0.22205,1.31278,2.15371,1.19193,1.00199,0.00018325,0.00018325,0.00018325
68,2411.68,1.43905,2.41089,1.34951,1.02933,0.72117,0.39507,0.49313,0.30233,0.68425,0.39376,0.48414,0.22892,1.33597,2.12361,1.39986,1.00727,0.000170875,0.000170875,0.000170875
69,2439.41,1.37559,2.08577,1.32978,1.00383,0.63509,0.49914,0.51982,0.32829,0.47734,0.50992,0.47378,0.22939,1.34289,2.14291,1.26941,1.02032,0.0001585,0.0001585,0.0001585
70,2467.01,1.41504,2.15418,1.32533,1.02728,0.73728,0.46618,0.54015,0.34445,0.50438,0.5048,0.49127,0.24694,1.31955,2.12176,1.31857,1.00039,0.000146125,0.000146125,0.000146125
71,2495.2,1.33208,2.10644,1.24268,0.96689,0.68861,0.56151,0.5645,0.35353,0.65418,0.55225,0.55273,0.26451,1.34355,2.12991,1.2684,1.01166,0.00013375,0.00013375,0.00013375
72,2522.61,1.33651,2.00095,1.24043,0.93167,0.77723,0.55045,0.56696,0.35283,0.72274,0.53844,0.55004,0.2588,1.36931,2.16469,1.23913,1.01526,0.000121375,0.000121375,0.000121375
73,2550.14,1.39961,2.20485,1.28577,0.9552,0.86097,0.52046,0.56797,0.35083,0.82713,0.51873,0.56008,0.24959,1.33597,2.15591,1.18273,1.0023,0.000109,0.000109,0.000109
74,2577.62,1.34905,2.0088,1.19073,0.96934,0.77043,0.54673,0.58415,0.35775,0.73815,0.53864,0.57472,0.26756,1.33336,2.10572,1.17467,1.00489,9.6625e-05,9.6625e-05,9.6625e-05
75,2605.2,1.38254,2.35521,1.23898,0.95086,0.77086,0.5511,0.57405,0.35142,0.89387,0.43754,0.55545,0.25834,1.35094,2.10502,1.21537,1.014,8.425e-05,8.425e-05,8.425e-05
76,2632.65,1.34987,2.14448,1.21827,0.95211,0.88901,0.5378,0.60158,0.36358,0.84497,0.53131,0.59195,0.26801,1.33594,2.09018,1.22215,1.00737,7.1875e-05,7.1875e-05,7.1875e-05
77,2660.17,1.36332,1.97827,1.20514,0.95573,0.85662,0.54615,0.58569,0.35286,0.82941,0.542,0.57849,0.25795,1.32747,2.10035,1.15068,1.00335,5.95e-05,5.95e-05,5.95e-05
78,2687.81,1.29319,2.12814,1.15971,0.94169,0.79817,0.55431,0.57735,0.35913,0.78883,0.53934,0.56894,0.26697,1.32506,2.10973,1.15529,1.00486,4.7125e-05,4.7125e-05,4.7125e-05
79,2715.27,1.24597,1.97094,1.07868,0.93762,0.82894,0.53705,0.57606,0.35925,0.79817,0.53209,0.56767,0.27332,1.33121,2.10629,1.13608,1.00332,3.475e-05,3.475e-05,3.475e-05
80,2742.56,1.31419,2.2099,1.12441,0.94056,0.83692,0.53357,0.59157,0.36793,0.79788,0.52762,0.5814,0.27598,1.32783,2.09135,1.13213,1.00168,2.2375e-05,2.2375e-05,2.2375e-05
